,0,1
192,757.2111527,-0.6463918686
193,757.2211037,-0.6662387848
194,757.2310557,-0.6474571228
195,757.2410067,-0.658867836
196,757.2509587,-0.6918611526
197,757.2609097,-0.6107797623
198,757.2708617,-0.5776166916
199,757.2808127,-0.5878276825
200,757.2907647,-0.5864105225
201,757.3007157,-0.6367664337
202,757.3106677,-0.6784210205
203,757.3206187,-0.7333726883
204,757.3305697,-0.7108287811
205,757.3405217,-0.6648635864
206,757.3504727,-0.7392292023
207,757.3604247,-0.7346220016
208,757.3703757,-0.8151807785
209,757.3803277,-0.8062553406
210,757.3902787,-0.7797107697
211,757.4002307,-0.694434166
212,757.4101817,-0.658156395
213,757.4201337,-0.6474924088
214,757.4300847,-0.6432790756
215,757.4400367,-0.6474723816
216,757.449987,-0.6994466782
217,757.459938,-0.7450113297
218,757.46989,-0.8629369736
219,757.479841,-0.8943815231
220,757.489793,-0.9268550873
221,757.499744,-0.8652420044
222,757.509696,-0.8652915955
223,757.519647,-0.8983488083
224,757.529599,-0.8221540451
225,757.53955,-0.8373317719
226,757.549502,-0.8219804764
227,757.559453,-0.8431768417
228,757.569404,-0.8604850769
229,757.579356,-0.7770900726
230,757.589307,-0.7036981583
231,757.599259,-0.7058210373
232,757.60921,-0.6804456711
233,757.619162,-0.7523860931
234,757.629113,-0.8091239929
235,757.639065,-0.8939771652
236,757.649016,-0.8607091904
237,757.658968,-0.7700366974
238,757.668919,-0.8428678513
239,757.678871,-0.8428678513
240,757.688822,-0.9047384262
241,757.698773,-0.7870540619
242,757.708725,-0.744893074
243,757.718676,-0.8255701065
244,757.728628,-0.7213716507
245,757.738579,-0.6966819763
246,757.748531,-0.6554670334
247,757.758482,-0.6853485107
248,757.768434,-0.7384338379
249,757.778385,-0.7207612991
250,757.788337,-0.6910619736
251,757.798288,-0.6939287186
252,757.808239,-0.7894849777
253,757.818191,-0.7755279541
254,757.828142,-0.7592201233
255,757.838094,-0.7697086334
256,757.848045,-0.759888649
257,757.857997,-0.7544307709
258,757.867948,-0.8186244965
259,757.8779,-0.8933849335
260,757.887851,-0.9186248779
261,757.897803,-0.8601818085
262,757.907754,-0.7796020508
263,757.917706,-0.686041832
264,757.927657,-0.6975650787
265,757.937608,-0.662071228
266,757.94756,-0.6538143158
267,757.957511,-0.6884908676
268,757.967463,-0.6999101639
269,757.977414,-0.7204618454
270,757.987366,-0.7368450165
271,757.997317,-0.7498149872
272,758.007269,-0.7290658951
273,758.01722,-0.7873678207
274,758.027172,-0.7398519516
275,758.037123,-0.6986236572
276,758.047075,-0.6192216873
277,758.057026,-0.5373163223
278,758.066977,-0.4898042679
279,758.076929,-0.542552948
280,758.08688,-0.6412696838
281,758.096832,-0.6279287338
282,758.106783,-0.563744545
283,758.116735,-0.5722103119
284,758.126686,-0.5433454514
285,758.136638,-0.6005382538
286,758.146589,-0.6210622787
287,758.156541,-0.6117630005
288,758.166492,-0.6584243774
289,758.176443,-0.7401800156
290,758.186395,-0.753537178
291,758.196346,-0.722287178
292,758.206298,-0.6055326462
293,758.216249,-0.5327978134
294,758.226201,-0.5823087692
295,758.236152,-0.6060609818
296,758.246104,-0.6584711075
297,758.256055,-0.6461849213
298,758.266007,-0.6772050858
299,758.275958,-0.7416391373
300,758.28591,-0.8022661209
301,758.295861,-0.786860466
302,758.305813,-0.6854219437
303,758.315764,-0.6714744568
304,758.325715,-0.656206131
305,758.335667,-0.6391544342
306,758.345618,-0.6029729843
307,758.35557,-0.532746315
308,758.365521,-0.532746315
309,758.375473,-0.5507688522
310,758.385424,-0.6366872787
311,758.395376,-0.7608366013
312,758.405327,-0.7766637802
313,758.415279,-0.655667305
314,758.42523,-0.7294836044
315,758.435181,-0.7454605103
316,758.445133,-0.6662931442
317,758.4550846,-0.6585855484
318,758.4650366,-0.6474838257
319,758.4749876,-0.6503276825
320,758.4849396,-0.6907300949
321,758.4948906,-0.7408056259
322,758.5048426,-0.8124866486
323,758.5147936,-0.7483978271
324,758.5247456,-0.7379522324
325,758.5346966,-0.7188119888
326,758.5446486,-0.6912927628
327,758.5545996,-0.6226911545
328,758.5645516,-0.5541210175
329,758.5745026,-0.5076646805
330,758.5844536,-0.5837459564
331,758.5944056,-0.5495204926
332,758.6043566,-0.4415035248
333,758.6143086,-0.4354200363
334,758.6242596,-0.4732913971
335,758.6342116,-0.5206604004
336,758.6441626,-0.5382900238
337,758.6541146,-0.5672464371
338,758.6640656,-0.5160722733
339,758.6740176,-0.5429010391
340,758.6839686,-0.5441617966
341,758.6939206,-0.5128421783
342,758.7038716,-0.4478969574
343,758.7138226,-0.4337682724
344,758.7237746,-0.3946084976
345,758.7337256,-0.3758001328
346,758.7436776,-0.374420166
347,758.7536286,-0.3388347626
348,758.7635806,-0.3422203064
349,758.7735316,-0.4997634888
350,758.7834836,-0.5284900665
351,758.7934346,-0.5487604141
352,758.8033866,-0.4115190506
353,758.8133376,-0.3180751801
354,758.8232886,-0.2145442963
355,758.8332406,-0.1587495804
356,758.8431916,-0.1875162125
357,758.8531436,-0.1800279617
358,758.8630946,-0.1930265427
359,758.8730466,-0.2835845947
360,758.8829976,-0.3585014343
361,758.8929496,-0.3905649185
362,758.9029006,-0.4311285019
363,758.9128526,-0.4815015793
364,758.9228036,-0.443649292
365,758.9327556,-0.4332036972
366,758.9427066,-0.321223259
367,758.9526586,-0.3726739883
368,758.9626096,-0.4093790054
369,758.9725606,-0.4756393433
370,758.9825126,-0.5541753769
371,758.9924636,-0.6327991486
372,759.0024156,-0.6518907547
373,759.0123666,-0.525305748
374,759.0223186,-0.4228658676
375,759.0322696,-0.4076719284
376,759.0422216,-0.406785965
377,759.0521726,-0.406785965
378,759.0621246,-0.3806200027
379,759.0720756,-0.4272069931
380,759.0820276,-0.5880279541
381,759.0919786,-0.6117601395
382,759.1019296,-0.6423444748
383,759.1118816,-0.6638746262
384,759.1218326,-0.6301593781
385,759.1317846,-0.6732225418
386,759.1417356,-0.7033805847
